count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji
0,1.0,1.0,2025/3/10,1863.298435,693.2984419,1741569856,1.0,1.0,pos1,Right,國學院,1,酒井,Left,TOK,1,Top,0,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,139.0,0.522,0.216,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800000,見逃し,,1861.0,https://youtu.be/ZA7E4wSWfDE&t=1861,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Suguru, Sakai",,,,,,
1,2.0,2.0,2025/3/10,1882.809801,712.809803,1741569876,1.0,2.0,pos1,Right,國學院,1,酒井,Left,TOK,1,Top,0,0,1,Slider,InPlay,Undefined,GroundBall,Out,1,0,,121.0,0.646,-0.08,35.36502868,31.70142967,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Undefined,,,,3,3,2506800001,一ゴ,,1880.0,https://youtu.be/ZA7E4wSWfDE&t=1880,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Suguru, Sakai",,,,,,
2,3.0,3.0,2025/3/10,1910.837939,740.8379397,1741569904,2.0,1.0,pos1,Right,國學院,2,堀部,Right,TOK,1,Top,1,0,0,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,138.0,0.606,-0.232,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800002,見逃し,,1908.0,https://youtu.be/ZA7E4wSWfDE&t=1908,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kohei, Horibe",,,,,,
3,4.0,4.0,2025/3/10,1923.137443,753.137444,1741569916,2.0,2.0,pos1,Right,國學院,2,堀部,Right,TOK,1,Top,1,0,1,Cutter,InPlay,Undefined,GroundBall,Out,1,0,,131.0,0.842,-0.124,90.3762792,-5.431466832,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Undefined,,,,8,8,2506800003,中ゴ,,1921.0,https://youtu.be/ZA7E4wSWfDE&t=1921,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kohei, Horibe",,,,,,
4,5.0,5.0,2025/3/10,1953.837559,783.8375609,1741569947,3.0,1.0,pos1,Right,國學院,3,門田,Right,TOK,1,Top,2,0,0,Slider,InPlay,Undefined,GroundBall,Single,0,0,,116.0,0.634,-0.108,46.84603547,5.782392322,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Undefined,,,,"4,3","4,3",2506800004,二安,,1951.0,https://youtu.be/ZA7E4wSWfDE&t=1951,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Ryohei, Kadota",,,,,,
5,6.0,6.0,2025/3/10,1999.069587,829.0695879,1741569992,4.0,1.0,pos1,Right,國學院,4,大原,Right,TOK,1,Top,2,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,120.0,0.39,-0.587,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,門田,,,Nothing,,,,,,2506800005,ボール,,1997.0,https://youtu.be/ZA7E4wSWfDE&t=1997,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kaiki, Ohara","Ryohei, Kadota",,,,,
6,7.0,7.0,2025/3/10,2016.842674,846.8426759,1741570010,4.0,2.0,pos1,Right,國學院,4,大原,Right,TOK,1,Top,2,1,0,Fastball,FoulBall,Undefined,FlyBall,Undefined,0,0,,136.0,0.53,-0.212,22.38780644,108.4349488,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,門田,,,Undefined,,,,,,2506800006,ファール,,2014.0,https://youtu.be/ZA7E4wSWfDE&t=2014,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kaiki, Ohara","Ryohei, Kadota",,,,,
7,,,2025/3/10,2038.319999,868.3199999,1741570031,,,pos1,Right,國學院,4,大原,Right,TOK,1,Top,2,1,1,,,,,,1,0,,,,,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,1,門田,,,PickOff,,,,"1,3","1,3T",2506800007,牽制死,,2036.0,https://youtu.be/ZA7E4wSWfDE&t=2036,,https://youtu.be/18LIP6AdgRM&t=0,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R",,,,,,,,,,,"Kaiki, Ohara","Ryohei, Kadota",,,,,
8,1.0,8.0,2025/3/10,2172.005903,1002.005904,1741570165,1.0,1.0,渡辺,Right,TOK,1,batter1,Left,國學院,1,Bottom,0,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,116.0,0.626,0.413,,,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Nothing,,,,,,2506800008,ボール,,2170.0,https://youtu.be/ZA7E4wSWfDE&t=2170,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
9,2.0,9.0,2025/3/10,2184.729538,1014.729539,1741570177,1.0,2.0,渡辺,Right,TOK,1,batter1,Left,國學院,1,Bottom,0,1,0,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,116.0,0.642,0.216,64.87328618,-20.49505985,國學院,#ff0000,國學院,TOK,#217fc4,東大,國學院大G,A,春季オープン戦,Normal,,,,,Undefined,,,,7,7,2506800009,左飛,,2182.0,https://youtu.be/ZA7E4wSWfDE&t=2182,,https://youtu.be/18LIP6AdgRM&t=0,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","酒井,堀部,門田,大原,杉浦,工藤,竹山,小村,秋元","pos1,batter8,batter7,batter9,batter6,batter2,batter4,batter5,batter1","渡辺,杉浦,堀部,秋元,門田,小村,竹山,酒井,大原","R,L,R,L,R,L,R,L,R,R","R,L,R,R,R,R,R,R,L,R","Koki, Watanabe","Kaito, Sugiura","Kohei, Horibe","Ryo, Akimoto","Ryohei, Kadota","Osuke, Komura","Naotaro, Takeyama","Suguru, Sakai","Kaiki, Ohara",,,,,,,,
