count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,error_person_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,runevent_romaji,scored_person_romaji,run_person_romaji
0,1,1,2025/3/21,2031.513779,141.5137811,1742527966,1,1,pos1,Right,wel,1,秋元,Right,TOK,1,Top,0,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,97,1.19,0.2,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970000,ボール,,2029,https://youtu.be/Uvk1aF-dqb8&t=2029,598,https://youtu.be/1mcGF9E8muE&t=598,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryo, Akimoto",,,,,,
1,2,2,2025/3/21,2042.683512,152.6835132,1742527977,1,2,pos1,Right,wel,1,秋元,Right,TOK,1,Top,0,1,0,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,,0.974,0.08,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970001,空振り,,2040,https://youtu.be/Uvk1aF-dqb8&t=2040,609,https://youtu.be/1mcGF9E8muE&t=609,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryo, Akimoto",,,,,,
2,3,3,2025/3/21,2054.198081,164.198081,1742527989,1,3,pos1,Right,wel,1,秋元,Right,TOK,1,Top,0,1,1,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,1.25,0.216,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970002,ボール,,2052,https://youtu.be/Uvk1aF-dqb8&t=2052,620,https://youtu.be/1mcGF9E8muE&t=620,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryo, Akimoto",,,,,,
3,4,4,2025/3/21,2064.39692,174.3969212,1742527999,1,4,pos1,Right,wel,1,秋元,Right,TOK,1,Top,0,2,1,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,113,0.726,0.108,75.04983653,-7.907162703,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Undefined,,,,8,8,2507970003,中飛,,2062,https://youtu.be/Uvk1aF-dqb8&t=2062,630,https://youtu.be/1mcGF9E8muE&t=630,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryo, Akimoto",,,,,,
4,5,5,2025/3/21,2091.492656,201.4926572,1742528026,2,1,pos1,Right,wel,2,小村,Left,TOK,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,132,0.403,0.168,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970004,ボール,,2089,https://youtu.be/Uvk1aF-dqb8&t=2089,647,https://youtu.be/1mcGF9E8muE&t=647,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Osuke, Komura",,,,,,
5,6,6,2025/3/21,2102.781672,212.781673,1742528037,2,2,pos1,Right,wel,2,小村,Left,TOK,1,Top,1,1,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,99,1.223,0.156,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Nothing,,,,,,2507970005,ボール,,2100,https://youtu.be/Uvk1aF-dqb8&t=2100,658,https://youtu.be/1mcGF9E8muE&t=658,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Osuke, Komura",,,,,,
6,7,7,2025/3/21,2114.270452,224.270453,1742528049,2,3,pos1,Right,wel,2,小村,Left,TOK,1,Top,1,2,0,Fastball,InPlay,Undefined,GroundBall,Single,0,0,,,0.534,0.22,75.96657748,6.241914347,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,,,,,Undefined,,,,8,8,2507970006,中安,,2112,https://youtu.be/Uvk1aF-dqb8&t=2112,670,https://youtu.be/1mcGF9E8muE&t=670,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Osuke, Komura",,,,,,
7,8,8,2025/3/21,2157.689357,267.689358,1742528092,3,1,pos1,Right,wel,3,門田,Right,TOK,1,Top,1,0,0,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.694,-0.393,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,1,小村,,,Nothing,,,,,,2507970007,ボール,,2155,https://youtu.be/Uvk1aF-dqb8&t=2155,703,https://youtu.be/1mcGF9E8muE&t=703,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryohei, Kadota","Osuke, Komura",,,,,
8,9,9,2025/3/21,2172.983351,282.983351,1742528107,3,2,pos1,Right,wel,3,門田,Right,TOK,1,Top,1,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.403,-0.407,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,1,小村,,,StolenBase,小村,,,,,2507970008,ボール[盗塁],,2170,https://youtu.be/Uvk1aF-dqb8&t=2170,719,https://youtu.be/1mcGF9E8muE&t=719,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryohei, Kadota","Osuke, Komura",,,,,"Osuke, Komura"
9,10,10,2025/3/21,2202.44924,312.4492412,1742528137,3,3,pos1,Right,wel,3,門田,Right,TOK,1,Top,1,2,0,Fastball,InPlay,Undefined,LineDrive,Single,0,0,,,0.642,0.156,72.27680432,-23.32141086,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,Normal,2,,小村,,Undefined,,,,7,7,2507970009,左安,,2200,https://youtu.be/Uvk1aF-dqb8&t=2200,748,https://youtu.be/1mcGF9E8muE&t=748,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Ryohei, Kadota",,"Osuke, Komura",,,,
10,11,11,2025/3/21,2242.272601,352.2726021,1742528177,4,1,pos1,Right,wel,4,荒井慶,Right,TOK,1,Top,1,0,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,,0.33,-0.3,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,IFFW,"1,3",門田,,小村,StolenBase,門田,,,,,2507970010,ボール[盗塁],,2240,https://youtu.be/Uvk1aF-dqb8&t=2240,775,https://youtu.be/1mcGF9E8muE&t=775,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Keito, Arai","Ryohei, Kadota",,"Osuke, Komura",,,"Ryohei, Kadota"
11,12,12,2025/3/21,2272.339473,382.339474,1742528207,4,2,pos1,Right,wel,4,荒井慶,Right,TOK,1,Top,1,1,0,Curveball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,,0.682,0.184,,,wel,#ff0035,wel,TOK,#217fc4,東大, 牛久運動公園,B,スプリングフレッシュ,IFFW,"2,3",,門田,小村,Nothing,,,,,,2507970011,見逃し,,2270,https://youtu.be/Uvk1aF-dqb8&t=2270,805,https://youtu.be/1mcGF9E8muE&t=805,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4,"batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","秋元,小村,門田,荒井慶,竹山,佐渡島,鈴木,深見,成瀬","pos1,batter9,batter3,batter2,batter7,batter8,batter6,batter1,batter4","江口,深見,門田,秋元,佐渡島,小村,荒井慶,鈴木,成瀬","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,L,L,L,L",,,,,,,,,,,"Keito, Arai",,"Ryohei, Kadota","Osuke, Komura",,,
