count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,error_person_romaji
0,1.0,1.0,2025/7/13,1631.418617,1546.418619,1752368127.0,1.0,1.0,渡辺,Right,TOK,1,batter1,Left,テイエステック,1,Top,0,0,0,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,0.558,0.487,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519300000,ボール,,1629.0,,534.0,https://youtu.be/M5FG4YBkFNE&t=534,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
1,2.0,2.0,2025/7/13,1644.082771,1559.082772,1752368140.0,1.0,2.0,渡辺,Right,TOK,1,batter1,Left,テイエステック,1,Top,0,1,0,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,111.0,0.558,0.487,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519300001,ボール,,1642.0,,546.0,https://youtu.be/M5FG4YBkFNE&t=546,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
2,3.0,3.0,2025/7/13,1658.699132,1573.699133,1752368155.0,1.0,3.0,渡辺,Right,TOK,1,batter1,Left,テイエステック,1,Top,0,2,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,A2B,111.0,0.59,0.228,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519300002,見逃し,,1656.0,,561.0,https://youtu.be/M5FG4YBkFNE&t=561,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
3,4.0,4.0,2025/7/13,1674.423495,1589.423496,1752368170.0,1.0,4.0,渡辺,Right,TOK,1,batter1,Left,テイエステック,1,Top,0,2,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,114.0,1.243,0.076,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519300003,ボール,,1672.0,,577.0,https://youtu.be/M5FG4YBkFNE&t=577,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
4,5.0,5.0,2025/7/13,1692.593977,1607.593978,1752368189.0,1.0,5.0,渡辺,Right,TOK,1,batter1,Left,テイエステック,1,Top,0,3,1,Slider,BallCalled,Walk,Undefined,Undefined,0,0,,112.0,0.506,0.647,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,,,,,Nothing,,,,,,2519300004,四球,,1690.0,,595.0,https://youtu.be/M5FG4YBkFNE&t=595,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
5,6.0,6.0,2025/7/13,1728.989374,1643.989376,1752368225.0,2.0,1.0,渡辺,Right,TOK,2,batter2,Right,テイエステック,1,Top,0,0,0,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,,1.046,-0.08,16.73115152,80.86982352,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,1,batter1,,,Undefined,,,,,,2519300005,ファール,,1726.0,,612.0,https://youtu.be/M5FG4YBkFNE&t=612,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
6,,,2025/7/13,1748.534192,1663.534193,1752368245.0,,,渡辺,Right,TOK,2,batter2,Right,テイエステック,1,Top,0,0,1,,,,,,0,0,,,,,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,1,batter1,,,PickOff,,,,"1,3","1,3",2519300006,牽制,,1746.0,,627.0,https://youtu.be/M5FG4YBkFNE&t=627,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
7,7.0,7.0,2025/7/13,1761.211264,1676.211265,1752368257.0,2.0,2.0,渡辺,Right,TOK,2,batter2,Right,テイエステック,1,Top,0,0,1,Slider,FoulBall,Undefined,FlyBall,Undefined,0,0,,112.0,0.934,0.108,9.644709572,113.4286928,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,1,batter1,,,Undefined,,,,,,2519300007,ファール,,1759.0,,640.0,https://youtu.be/M5FG4YBkFNE&t=640,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
8,8.0,8.0,2025/7/13,1783.54809,1698.548092,1752368280.0,2.0,3.0,渡辺,Right,TOK,2,batter2,Right,テイエステック,1,Top,0,0,2,Slider,BallCalled,Undefined,Undefined,Undefined,0,0,,113.0,0.802,-0.58,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,1,batter1,,,Nothing,,,,,,2519300008,ボール,,1781.0,,652.0,https://youtu.be/M5FG4YBkFNE&t=652,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
9,9.0,9.0,2025/7/13,1802.685673,1717.685674,1752368299.0,2.0,4.0,渡辺,Right,TOK,2,batter2,Right,テイエステック,1,Top,0,1,2,Sinker,BallCalled,Undefined,Undefined,Undefined,0,0,,112.0,0.542,-0.407,,,TOK,#217fc4,東大,テイエステック,#060606,テイエステック,TodaiStadium,A,夏季オープン戦,Normal,1,batter1,,,StolenBase,batter1,,,"2,6","2,6",2519300009,ボール[盗塁],,1800.0,,671.0,https://youtu.be/M5FG4YBkFNE&t=671,明石,中山,小村,秋元,青貝,安田,酒井,工藤,"酒井,安田,中山,工藤,スタンリー,小村,青貝,明石,秋元","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","渡辺,明石,中山,小村,秋元,青貝,安田,酒井,工藤","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,L,R,L,R","R,L,R,R,L,L,L,R,L,R","Koki, Watanabe","Ken, Akashi","Taiyo, Nakayama","Osuke, Komura","Ryo, Akimoto","Naomasa, Aogai","Ken, Yasuda","Suguru, Sakai","Yudai, Kudo",,,,,,,
