count,pitchcount,PitchNo,Date,time1,time2,time3,PAofInning,PitchofPA,Pitcher,PitcherThrows,PitcherTeam,dajun,Batter,BatterSide,BatterTeam,Inning,Top/Bottom,Outs,Balls,Strikes,TaggedPitchType,PitchCall,KorBB,TaggedHitType,PlayResult,OutsOnPlay,RunsScored,memo,RelSpeed,PlateLocHeight,PlateLocSide,caught_distance,caught_direction,HomeTeam,hometeam_color,hometeam_abb,AwayTeam,awayteam_color,awayteam_abb,Stadium,Level,League,fielding_alignment,Notes,on_1b,on_2b,on_3b,runevent,run_person,error_person,scored_person,relateddefencepos,fielding_sequence,playid,result,description,c_time,c_URL,n_time,n_URL,C,1B,2B,3B,SS,LF,CF,RF,BOh,BOa,DOh,DOa,LRh,LRa,Pitcher_romaji,C_romaji,1B_romaji,2B_romaji,3B_romaji,SS_romaji,LF_romaji,CF_romaji,RF_romaji,Batter_romaji,on_1b_romaji,on_2b_romaji,on_3b_romaji,scored_person_romaji,run_person_romaji,error_person_romaji
0,1.0,1.0,2025/8/7,114,187.610209,1754549414,1.0,1.0,栗林,Right,TOK,1,batter1,Right,東北大,1,Top,0,0,0,Slider,StrikeCalled,Undefined,Undefined,Undefined,0,0,,112.0,0.778,0.1,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830000,見逃し,,2843.0,https://youtu.be/j4edPuUKXyY&t=2843,76.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,R,R,L,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
1,2.0,2.0,2025/8/7,137,209.965316,1754549437,1.0,2.0,栗林,Right,TOK,1,batter1,Right,東北大,1,Top,0,0,1,Fastball,StrikeCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.53,-0.216,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830001,見逃し,,2866.0,https://youtu.be/j4edPuUKXyY&t=2866,99.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,R,R,L,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
2,3.0,3.0,2025/8/7,151,224.154816,1754549451,1.0,3.0,栗林,Right,TOK,1,batter1,Right,東北大,1,Top,0,0,2,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,126.0,0.19,-0.188,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830002,ボール,,2880.0,https://youtu.be/j4edPuUKXyY&t=2880,113.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,R,R,L,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
3,4.0,4.0,2025/8/7,163,236.870525,1754549463,1.0,4.0,栗林,Right,TOK,1,batter1,Right,東北大,1,Top,0,1,2,ChangeUp,FoulBall,Undefined,GroundBall,Undefined,0,0,,117.0,0.474,0.224,17.2004481,174.093859,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521830003,ファール,,2892.0,https://youtu.be/j4edPuUKXyY&t=2892,125.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,R,R,L,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
4,5.0,5.0,2025/8/7,184,257.028068,1754549484,1.0,5.0,栗林,Right,TOK,1,batter1,Right,東北大,1,Top,0,1,2,Slider,FoulBall,Undefined,GroundBall,Undefined,0,0,,109.0,0.666,0.108,34.839494,-68.64902,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521830004,ファール,,2913.0,https://youtu.be/j4edPuUKXyY&t=2913,146.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,R,R,L,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
5,6.0,6.0,2025/8/7,205,278.814949,1754549505,1.0,6.0,栗林,Right,TOK,1,batter1,Right,東北大,1,Top,0,1,2,Fastball,InPlay,Undefined,FlyBall,Out,1,0,,127.0,0.642,-0.22,79.2083462,32.6839434,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_120,B,夏季オープン戦,Normal,,,,,Undefined,,,,9,9,2521830005,右飛,,2934.0,https://youtu.be/j4edPuUKXyY&t=2934,167.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,L,R,L,R,R,R,R,L,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
6,7.0,7.0,2025/8/7,234,96.04836988,1754549534,2.0,1.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,0,0,Curveball,BallCalled,Undefined,Undefined,Undefined,0,0,,,,,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_121,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830006,ボール,,2963.0,https://youtu.be/j4edPuUKXyY&t=2963,194.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
7,8.0,8.0,2025/8/7,240,101.5731242,1754549540,2.0,2.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,1,0,Cutter,FoulBall,Undefined,GroundBall,Undefined,0,0,,,,,25.77030049,74.0546041,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_122,B,夏季オープン戦,Normal,,,,,Undefined,,,,,,2521830007,ファール,,2969.0,https://youtu.be/j4edPuUKXyY&t=2969,200.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
8,9.0,9.0,2025/8/7,255,116.947808,1754549555,2.0,3.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,1,1,Fastball,BallCalled,Undefined,Undefined,Undefined,0,0,,125.0,0.103,0.144,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_123,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830008,ボール,,2984.0,https://youtu.be/j4edPuUKXyY&t=2984,215.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,R,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
9,10.0,10.0,2025/8/7,276,137.9563699,1754549576,2.0,4.0,栗林,Right,TOK,2,batter2,Left,東北大,1,Top,1,2,1,Fastball,StrikeSwinging,Undefined,Undefined,Undefined,0,0,,125.0,0.63,0.26,,,TOK,#217fc4,東大,東北大,#90dcff,東北大, きたぎん_124,B,夏季オープン戦,Normal,,,,,Nothing,,,,,,2521830009,空振り,,3005.0,https://youtu.be/j4edPuUKXyY&t=3005,236.0,,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端,"鈴木,村尾,伊藤,春山,田崎,松本康,荒井孝,堀端,小田","batter1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","栗林,松本康,春山,荒井孝,田崎,小田,村尾,伊藤,堀端","pos1,batter2,batter3,batter4,batter5,batter6,batter7,batter8,batter9","R,R,R,R,R,R,R,R,R,R","R,R,L,R,R,R,R,R,R,R","Kazuki, Kuribayashi","Kohei, Matsumoto","Yuichiro, Haruyama","Kota, Arai","Tasaki, Shu","Shu, Oda","Murao, Yusaku","Koichiro, Ito","Taiki, Horibata",,,,,,,
